,FreeCirculation,EDITION,Format,Year,Market,Newspaper,Owner,PaidCirculation,Prov,TotalCirculation,Lowner,Address
789,0,Wednesday,T,2014,ingersoll,ingersoll times,sun media corporation,728,ON,728,sun media corporation,"['ingersoll ,ON, Canada']"
790,0,Wednesday,T,2015,ingersoll,ingersoll times,sun media corporation,580,ON,580,sun media corporation,"['ingersoll ,ON, Canada']"
791,0,Wednesday,T,2016,ingersoll,ingersoll times,sun media corporation,532,ON,532,postmedia network inc.,"['ingersoll ,ON, Canada']"
792,0,Wednesday,T,2017,ingersoll,ingersoll times,postmedia network inc.,532,ON,532,postmedia network inc.,"['ingersoll ,ON, Canada']"
793,0,Wednesday,T,2018,ingersoll,ingersoll times,postmedia network inc.,532,ON,532,postmedia network inc.,"['ingersoll ,ON, Canada']"
794,10726,Thursday,T,2013,innisfil,innisfil journal,metroland media group ltd.,0,ON,10726,metroland media group ltd.,"['innisfil ,ON, Canada']"
795,10891,Thursday,T,2014,innisfil,innisfil journal,metroland media group ltd.,0,ON,10891,metroland media group ltd.,"['innisfil ,ON, Canada']"
796,11376,Thursday,T,2015,innisfil,innisfil journal,metroland media group ltd.,0,ON,11376,metroland media group ltd.,"['innisfil ,ON, Canada']"
797,11661,Thursday,T,2016,innisfil,innisfil journal,metroland media group ltd.,0,ON,11661,metroland media group ltd.,"['innisfil ,ON, Canada']"
798,11848,Thursday,T,2017,innisfil,innisfil journal,metroland media group ltd.,0,ON,11848,metroland media group ltd.,"['innisfil ,ON, Canada']"
799,11885,Thursday,T,2018,innisfil,innisfil journal,metroland media group ltd.,0,ON,11885,metroland media group ltd.,"['innisfil ,ON, Canada']"
800,11866,Thursday,T,2019,innisfil,innisfil journal,metroland media group ltd.,0,ON,11866,metroland media group ltd.,"['innisfil ,ON, Canada']"
801,12534,Wednesday,T,2013,innisfil,innisfil scope,london publishing corporation,104,ON,12638,london publishing corporation,"['innisfil ,ON, Canada']"
802,126,Thursday,B,2013,iroquois%20falls,iroquois falls enterprise,william c. cavell enterprises ltd.,2106,ON,2232,william c. cavell enterprises ltd.,"['iroquois falls ,ON, Canada']"
803,30,Wednesday,T,2013,hornepayne,jackfish journal,lisa stewart,263,ON,293,lisa stewart,"['hornepayne ,ON, Canada']"
804,30,Wednesday,T,2014,hornepayne,jackfish journal,lisa stewart,249,ON,279,lisa stewart,"['hornepayne ,ON, Canada']"
805,30,Wednesday,T,2015,hornepayne,jackfish journal,lisa stewart,235,ON,265,lisa stewart,"['hornepayne ,ON, Canada']"
806,30,Wednesday,T,2016,hornepayne,jackfish journal,,224,ON,254,lisa stewart,"['hornepayne ,ON, Canada']"
807,30,Wednesday,T,2017,hornepayne,jackfish journal,ginger latoski,200,ON,230,,"['hornepayne ,ON, Canada']"
808,0,Wednesday,T,2014,wheatley,journal,wheatley journal,696,ON,696,wheatley journal,"['wheatley ,ON, Canada']"
809,4,Wednesday,T,2015,wheatley,journal,wheatley journal,641,ON,645,wheatley journal,"['wheatley ,ON, Canada']"
810,8,Wednesday,T,2016,wheatley,journal,wheatley journal,624,ON,632,wheatley journal,"['wheatley ,ON, Canada']"
811,11,Wednesday,T,2017,wheatley,journal,southpoint publishing inc.,586,ON,597,wheatley journal,"['wheatley ,ON, Canada']"
812,72,Wednesday,T,2014,st.%20marys,journal argus,metroland media group ltd.,1761,ON,1833,metroland media group ltd.,"['st. marys ,ON, Canada']"
813,86,Wednesday,T,2015,st.%20marys,journal argus,metroland media group ltd.,1584,ON,1670,metroland media group ltd.,"['st. marys ,ON, Canada']"
814,110,Wednesday,T,2016,st.%20marys,journal argus,metroland media group ltd.,1354,ON,1464,metroland media group ltd.,"['st. marys ,ON, Canada']"
815,100,Wednesday,T,2017,st.%20marys,journal argus,metroland media group ltd.,1352,ON,1452,metroland media group ltd.,"['st. marys ,ON, Canada']"
816,6976,Thursday,T,2013,st.%20marys,journal argus weekender,metroland media group ltd.,0,ON,6976,metroland media group ltd.,"['st. marys ,ON, Canada']"
817,7011,Thursday,T,2014,st.%20marys,journal argus weekender,metroland media group ltd.,0,ON,7011,metroland media group ltd.,"['st. marys ,ON, Canada']"
818,6869,Thursday,T,2015,st.%20marys,journal argus weekender,metroland media group ltd.,0,ON,6869,metroland media group ltd.,"['st. marys ,ON, Canada']"
819,7170,Thursday,T,2016,st.%20marys,journal argus weekender,metroland media group ltd.,0,ON,7170,metroland media group ltd.,"['st. marys ,ON, Canada']"
820,6896,Thursday,T,2017,st.%20marys,journal argus weekender,metroland media group ltd.,0,ON,6896,metroland media group ltd.,"['st. marys ,ON, Canada']"
821,23000,Thursday,T,2013,cornwall,journal de cornwall le,compagnie d'edition andre paquette,0,ON,23000,compagnie d'edition andre paquette,"['cornwall ,ON, Canada']"
822,23000,Thursday,T,2014,cornwall,journal de cornwall le,compagnie d'edition andre paquette,0,ON,23000,compagnie d'edition andre paquette,"['cornwall ,ON, Canada']"
823,23000,Thursday,T,2015,cornwall,journal de cornwall le,compagnie d'edition andre paquette,0,ON,23000,compagnie d'edition andre paquette,"['cornwall ,ON, Canada']"
824,23000,Thursday,T,2016,cornwall,journal de cornwall le,compagnie d'edition andre paquette,0,ON,23000,compagnie d'edition andre paquette,"['cornwall ,ON, Canada']"
825,23000,Thursday,T,2017,cornwall,journal de cornwall le,compagnie d'edition andre paquette,0,ON,23000,compagnie d'edition andre paquette,"['cornwall ,ON, Canada']"
826,23000,Thursday,T,2018,cornwall,journal de cornwall le,compagnie d'edition andre paquette,0,ON,23000,compagnie d'edition andre paquette,"['cornwall ,ON, Canada']"
827,23000,Thursday,T,2019,cornwall,journal de cornwall le,compagnie d'edition andre paquette,0,ON,23000,compagnie d'edition andre paquette,"['cornwall ,ON, Canada']"
828,26702,Thursday,T,2013,kanata,kanata kourierstandard,metroland media group ltd.,0,ON,26702,metroland media group ltd.,"['kanata ,ON, Canada']"
829,28101,Thursday,T,2014,kanata,kanata kourierstandard,metroland media group ltd.,4462,ON,32563,metroland media group ltd.,"['kanata ,ON, Canada']"
830,29010,Thursday,T,2015,kanata,kanata kourierstandard,metroland media group ltd.,0,ON,29010,metroland media group ltd.,"['kanata ,ON, Canada']"
831,29024,Thursday,T,2016,kanata,kanata kourierstandard,metroland media group ltd.,0,ON,29024,metroland media group ltd.,"['kanata ,ON, Canada']"
832,29161,Thursday,T,2017,kanata,kanata kourierstandard,metroland media group ltd.,0,ON,29161,metroland media group ltd.,"['kanata ,ON, Canada']"
833,0,Wednesday,T,2013,kapuskasing,kapuskasing horizon,sun media corporation,3300,ON,3300,sun media corporation,"['kapuskasing ,ON, Canada']"
834,0,Wednesday,B,2013,kapuskasing,kapuskasing northern times,sun media corporation,1955,ON,1955,sun media corporation,"['kapuskasing ,ON, Canada']"
835,8456,Thursday,T,2013,kapuskasing,kapuskasing the weekender,sun media corporation,43,ON,8499,sun media corporation,"['kapuskasing ,ON, Canada']"
836,21653,Tuesday,T,2013,kawartha%20lakes,kawartha lakes this week,metroland media group ltd.,0,ON,21653,metroland media group ltd.,"['kawartha lakes ,ON, Canada']"
837,29552,Thursday,T,2013,kawartha%20lakes,kawartha lakes this week,metroland media group ltd.,0,ON,29552,metroland media group ltd.,"['kawartha lakes ,ON, Canada']"
838,29432,Thursday,T,2014,kawartha%20lakes,kawartha lakes this week,metroland media group ltd.,0,ON,29432,metroland media group ltd.,"['kawartha lakes ,ON, Canada']"
839,19972,Tuesday,T,2014,kawartha%20lakes,kawartha lakes this week,metroland media group ltd.,0,ON,19972,metroland media group ltd.,"['kawartha lakes ,ON, Canada']"
840,29432,Thursday,T,2015,kawartha%20lakes,kawartha lakes this week,metroland media group ltd.,0,ON,29432,metroland media group ltd.,"['kawartha lakes ,ON, Canada']"
841,19972,Tuesday,T,2015,kawartha%20lakes,kawartha lakes this week,metroland media group ltd.,0,ON,19972,metroland media group ltd.,"['kawartha lakes ,ON, Canada']"
842,29432,Thursday,T,2016,kawartha%20lakes,kawartha lakes this week,metroland media group ltd.,0,ON,29432,metroland media group ltd.,"['kawartha lakes ,ON, Canada']"
843,19972,Tuesday,T,2016,kawartha%20lakes,kawartha lakes this week,metroland media group ltd.,0,ON,19972,metroland media group ltd.,"['kawartha lakes ,ON, Canada']"
844,19972,Tuesday,T,2017,kawartha%20lakes,kawartha lakes this week,metroland media group ltd.,0,ON,19972,metroland media group ltd.,"['kawartha lakes ,ON, Canada']"
845,29432,Thursday,T,2017,kawartha%20lakes,kawartha lakes this week,metroland media group ltd.,0,ON,29432,metroland media group ltd.,"['kawartha lakes ,ON, Canada']"
846,19972,Tuesday,T,2018,kawartha%20lakes,kawartha lakes this week,metroland media group ltd.,0,ON,19972,metroland media group ltd.,"['kawartha lakes ,ON, Canada']"
847,29432,Thursday,T,2018,kawartha%20lakes,kawartha lakes this week,metroland media group ltd.,0,ON,29432,metroland media group ltd.,"['kawartha lakes ,ON, Canada']"
848,29432,Thursday,T,2019,kawartha%20lakes,kawartha lakes this week,metroland media group ltd.,0,ON,29432,metroland media group ltd.,"['kawartha lakes ,ON, Canada']"
849,19972,Tuesday,T,2019,kawartha%20lakes,kawartha lakes this week,metroland media group ltd.,0,ON,19972,metroland media group ltd.,"['kawartha lakes ,ON, Canada']"
850,9467,Thursday,T,2013,kemptville,kemptville advance,metroland media group ltd.,0,ON,9467,metroland media group ltd.,"['kemptville ,ON, Canada']"
851,10616,Thursday,T,2014,kemptville,kemptville advance,metroland media group ltd.,0,ON,10616,metroland media group ltd.,"['kemptville ,ON, Canada']"
852,10471,Thursday,T,2015,kemptville,kemptville advance,metroland media group ltd.,0,ON,10471,metroland media group ltd.,"['kemptville ,ON, Canada']"
853,10640,Thursday,T,2016,kemptville,kemptville advance,metroland media group ltd.,0,ON,10640,metroland media group ltd.,"['kemptville ,ON, Canada']"
854,10676,Thursday,T,2017,kemptville,kemptville advance,metroland media group ltd.,0,ON,10676,metroland media group ltd.,"['kemptville ,ON, Canada']"
855,10681,Thursday,T,2018,kemptville,kemptville advance,metroland media group ltd.,0,ON,10681,metroland media group ltd.,"['kemptville ,ON, Canada']"
856,10742,Thursday,T,2019,kemptville,kemptville advance,metroland media group ltd.,0,ON,10742,metroland media group ltd.,"['kemptville ,ON, Canada']"
857,8735,Thursday,T,2013,kenora,kenora lake of the woods enterprise,sun media corporation,0,ON,8735,sun media corporation,"['kenora ,ON, Canada']"
858,0,Tuesday,B,2013,kincardine,kincardine news,sun media corporation,2388,ON,2388,sun media corporation,"['kincardine ,ON, Canada']"
859,5780,Tuesday,B,2018,kincardine,kincardine news,postmedia network inc.,54,ON,5834,postmedia network inc.,"['kincardine ,ON, Canada']"
860,5780,Tuesday,B,2019,kincardine,kincardine news,postmedia network inc.,54,ON,5834,postmedia network inc.,"['kincardine ,ON, Canada']"
861,6688,Thursday,T,2014,king%20township,king connection,metroland media group ltd.,0,ON,6688,metroland media group ltd.,"['king township ,ON, Canada']"
862,7623,Thursday,T,2015,king%20township,king connection,metroland media group ltd.,0,ON,7623,metroland media group ltd.,"['king township ,ON, Canada']"
863,6091,Thursday,T,2016,king%20township,king connection,metroland media group ltd.,0,ON,6091,metroland media group ltd.,"['king township ,ON, Canada']"
864,6091,Thursday,T,2017,king%20township,king connection,metroland media group ltd.,0,ON,6091,metroland media group ltd.,"['king township ,ON, Canada']"
865,6091,Thursday,T,2018,king%20township,king connection,metroland media group ltd.,0,ON,6091,metroland media group ltd.,"['king township ,ON, Canada']"
866,5019,Thursday,T,2019,king%20township,king connection,metroland media group ltd.,0,ON,5019,metroland media group ltd.,"['king township ,ON, Canada']"
867,7165,Wednesday,T,2013,king%20township,king township weekly sentinel,london publishing corporation,15,ON,7180,london publishing corporation,"['king township ,ON, Canada']"
868,8050,Wednesday,T,2013,king,king weekly,ontario ltd.,0,ON,8050,ontario ltd.,"['king ,ON, Canada']"
869,47070,Thursday,T,2013,kingston,kingston heritage,metroland media group ltd.,0,ON,47070,metroland media group ltd.,"['kingston ,ON, Canada']"
870,45971,Thursday,T,2014,kingston,kingston heritage,metroland media group ltd.,0,ON,45971,metroland media group ltd.,"['kingston ,ON, Canada']"
871,46251,Thursday,T,2015,kingston,kingston heritage,metroland media group ltd.,0,ON,46251,metroland media group ltd.,"['kingston ,ON, Canada']"
872,46061,Thursday,T,2016,kingston,kingston heritage,metroland media group ltd.,0,ON,46061,metroland media group ltd.,"['kingston ,ON, Canada']"
873,45447,Thursday,T,2017,kingston,kingston heritage,metroland media group ltd.,0,ON,45447,metroland media group ltd.,"['kingston ,ON, Canada']"
874,51478,Thursday,T,2013,kingston&frontenac,kingston/frontenac this week,sun media corporation,0,ON,51478,sun media corporation,"['kingston ,ON, Canada', 'frontenac ,ON, Canada']"
875,50246,Thursday,T,2014,kingston&frontenac,kingston/frontenac this week,sun media corporation,0,ON,50246,sun media corporation,"['kingston ,ON, Canada', 'frontenac ,ON, Canada']"
876,49707,Thursday,T,2015,kingston&frontenac,kingston/frontenac this week,sun media corporation,0,ON,49707,sun media corporation,"['kingston ,ON, Canada', 'frontenac ,ON, Canada']"
877,48840,Thursday,T,2016,kingston&frontenac,kingston/frontenac this week,sun media corporation,0,ON,48840,postmedia network inc.,"['kingston ,ON, Canada', 'frontenac ,ON, Canada']"
878,48741,Thursday,T,2017,kingston&frontenac,kingston/frontenac this week,postmedia network inc.,0,ON,48741,postmedia network inc.,"['kingston ,ON, Canada', 'frontenac ,ON, Canada']"
879,48741,Thursday,T,2018,kingston&frontenac,kingston/frontenac this week,postmedia network inc.,0,ON,48741,postmedia network inc.,"['kingston ,ON, Canada', 'frontenac ,ON, Canada']"
880,48741,Thursday,T,2019,kingston&frontenac,kingston/frontenac this week,postmedia network inc.,0,ON,48741,postmedia network inc.,"['kingston ,ON, Canada', 'frontenac ,ON, Canada']"
881,0,Tuesday,T,2013,kingsville,kingsville reporter,postmedia network inc.,1576,ON,1576,postmedia network inc.,"['kingsville ,ON, Canada']"
882,0,Tuesday,T,2014,kingsville,kingsville reporter,postmedia network inc.,1429,ON,1429,postmedia network inc.,"['kingsville ,ON, Canada']"
883,8,Tuesday,T,2015,kingsville,kingsville reporter,postmedia network inc.,1316,ON,1324,postmedia network inc.,"['kingsville ,ON, Canada']"
884,9,Tuesday,T,2016,kingsville,kingsville reporter,postmedia network inc.,1196,ON,1205,postmedia network inc.,"['kingsville ,ON, Canada']"
885,7,Tuesday,T,2017,kingsville,kingsville reporter,postmedia network inc.,1107,ON,1114,postmedia network inc.,"['kingsville ,ON, Canada']"
886,4,Tuesday,T,2018,kingsville,kingsville reporter,postmedia network inc.,1053,ON,1057,postmedia network inc.,"['kingsville ,ON, Canada']"
887,4,Tuesday,T,2019,kingsville,kingsville reporter,postmedia network inc.,973,ON,977,postmedia network inc.,"['kingsville ,ON, Canada']"
888,30000,Wednesday,T,2013,kitchener,"kitchener citizen, east edition",carrie debrone,0,ON,30000,carrie debrone,"['kitchener ,ON, Canada']"
889,30000,Wednesday,T,2014,kitchener,"kitchener citizen, east editionon",carrie debrone,0,ON,30000,carrie debrone,"['kitchener ,ON, Canada']"
890,30000,Wednesday,T,2015,kitchener,"kitchener citizen, east editionon",rosemount house publishing,0,ON,30000,carrie debrone,"['kitchener ,ON, Canada']"
891,30000,Wednesday,T,2016,kitchener,"kitchener citizen, east editionon",rosemount house publishing,0,ON,30000,rosemount house publishing,"['kitchener ,ON, Canada']"
892,30000,Wednesday,T,2017,kitchener,"kitchener citizen, east editionon",rosemount house publishing,0,ON,30000,rosemount house publishing,"['kitchener ,ON, Canada']"
893,30000,Wednesday,T,2018,kitchener,"kitchener citizen, east editionon",rosemount house publishing,0,ON,30000,rosemount house publishing,"['kitchener ,ON, Canada']"
894,30000,Wednesday,T,2019,kitchener,"kitchener citizen, east editionon",rosemount house publishing,0,ON,30000,rosemount house publishing,"['kitchener ,ON, Canada']"
895,34000,Wednesday,T,2013,kitchener,"kitchener citizen, west edition",helen redgwell hall,0,ON,34000,helen redgwell hall,"['kitchener ,ON, Canada']"
896,34000,Wednesday,T,2014,kitchener,"kitchener citizen, west editionon",helen redgwell hall,0,ON,34000,helen redgwell hall,"['kitchener ,ON, Canada']"
897,32500,Wednesday,T,2015,kitchener,"kitchener citizen, west editionon",helen redgwell hall,0,ON,32500,helen redgwell hall,"['kitchener ,ON, Canada']"
898,32500,Wednesday,T,2016,kitchener,"kitchener citizen, west editionon",helen redgwell hall,0,ON,32500,helen redgwell hall,"['kitchener ,ON, Canada']"
899,32500,Wednesday,T,2017,kitchener,"kitchener citizen, west editionon",helen redgwell hall,0,ON,32500,helen redgwell hall,"['kitchener ,ON, Canada']"
900,32500,Wednesday,T,2018,kitchener,"kitchener citizen, west editionon",helen redgwell hall,0,ON,32500,helen redgwell hall,"['kitchener ,ON, Canada']"
901,32500,Wednesday,T,2019,kitchener,"kitchener citizen, west editionon",helen redgwell hall,0,ON,32500,helen redgwell hall,"['kitchener ,ON, Canada']"
902,59153,Friday,T,2013,kitchener,kitchener post,metroland media group ltd.,0,ON,59153,metroland media group ltd.,"['kitchener ,ON, Canada']"
903,59491,Friday,T,2014,kitchener,kitchener post,metroland media group ltd.,0,ON,59491,metroland media group ltd.,"['kitchener ,ON, Canada']"
904,59746,Friday,T,2015,kitchener,kitchener post,metroland media group ltd.,0,ON,59746,metroland media group ltd.,"['kitchener ,ON, Canada']"
905,58361,Friday,T,2016,kitchener,kitchener post,metroland media group ltd.,0,ON,58361,metroland media group ltd.,"['kitchener ,ON, Canada']"
906,58770,Friday,T,2017,kitchener,kitchener post,metroland media group ltd.,0,ON,58770,metroland media group ltd.,"['kitchener ,ON, Canada']"
907,59793,Thursday,B,2018,kitchener,kitchener post,metroland media group ltd.,0,ON,59793,metroland media group ltd.,"['kitchener ,ON, Canada']"
908,61680,Thursday,B,2019,kitchener,kitchener post,metroland media group ltd.,0,ON,61680,metroland media group ltd.,"['kitchener ,ON, Canada']"
909,7170,Friday,T,2013,port%20stanley,lake erie beacon,andrew hibbert and ted halwa,0,ON,7170,andrew hibbert and ted halwa,"['port stanley ,ON, Canada']"
910,6684,Friday,T,2014,port%20stanley,lake erie beaconon,andrew hibbert and ted halwa,0,ON,6684,andrew hibbert and ted halwa,"['port stanley ,ON, Canada']"
911,6684,Friday,T,2015,port%20stanley,lake erie beaconon,andrew hibbert and ted halwa,0,ON,6684,andrew hibbert and ted halwa,"['port stanley ,ON, Canada']"
912,6684,Friday,T,2016,port%20stanley,lake erie beaconon,andrew hibbert and ted halwa,0,ON,6684,andrew hibbert and ted halwa,"['port stanley ,ON, Canada']"
913,6684,Friday,T,2017,port%20stanley,lake erie beaconon,andrew hibbert and ted halwa,0,ON,6684,andrew hibbert and ted halwa,"['port stanley ,ON, Canada']"
914,8735,Thursday,T,2014,kenora,lake of the woods enterprise,sun media corporation,0,ON,8735,sun media corporation,"['kenora ,ON, Canada']"
915,8020,Thursday,T,2015,kenora,lake of the woods enterprise,sun media corporation,113,ON,8133,sun media corporation,"['kenora ,ON, Canada']"
916,7771,Thursday,T,2016,kenora,lake of the woods enterprise,sun media corporation,122,ON,7893,postmedia network inc.,"['kenora ,ON, Canada']"
917,7771,Thursday,T,2017,kenora,lake of the woods enterprise,postmedia network inc.,122,ON,7893,postmedia network inc.,"['kenora ,ON, Canada']"
918,7771,Thursday,T,2018,kenora,lake of the woods enterprise,postmedia network inc.,122,ON,7893,postmedia network inc.,"['kenora ,ON, Canada']"
919,7771,Thursday,T,2019,kenora,lake of the woods enterprise,postmedia network inc.,122,ON,7893,postmedia network inc.,"['kenora ,ON, Canada']"
920,27,Friday,T,2013,lakefield,lakefield herald,lakefield herald ltd.,985,ON,1012,lakefield herald ltd.,"['lakefield ,ON, Canada']"
921,48,Friday,T,2014,lakefield,lakefield herald,lakefield herald ltd.,894,ON,942,lakefield herald ltd.,"['lakefield ,ON, Canada']"
922,41,Friday,T,2015,lakefield,lakefield herald,lakefield herald ltd.,836,ON,877,lakefield herald ltd.,"['lakefield ,ON, Canada']"
923,37,Friday,T,2016,lakefield,lakefield herald,lakefield herald ltd.,995,ON,1032,lakefield herald ltd.,"['lakefield ,ON, Canada']"
924,29,Friday,T,2017,lakefield,lakefield herald,lakefield herald ltd.,904,ON,933,lakefield herald ltd.,"['lakefield ,ON, Canada']"
925,29,Friday,T,2018,lakefield,lakefield herald,lakefield herald ltd.,904,ON,933,lakefield herald ltd.,"['lakefield ,ON, Canada']"
926,16,Friday,T,2019,lakefield,lakefield herald,lakefield herald ltd.,832,ON,848,lakefield herald ltd.,"['lakefield ,ON, Canada']"
927,22,Wednesday,T,2013,grand%20bend&zurich,lakeshore advance,sun media corporation,1119,ON,1141,sun media corporation,"['grand bend ,ON, Canada', 'zurich ,ON, Canada']"
928,16,Wednesday,T,2014,grand%20bend&zurich,lakeshore advance,sun media corporation,1055,ON,1071,sun media corporation,"['grand bend ,ON, Canada', 'zurich ,ON, Canada']"
929,12,Wednesday,T,2015,grand%20bend&zurich,lakeshore advance,sun media corporation,1004,ON,1016,sun media corporation,"['grand bend ,ON, Canada', 'zurich ,ON, Canada']"
930,16,Wednesday,T,2016,grand%20bend&zurich,lakeshore advance,sun media corporation,892,ON,908,postmedia network inc.,"['grand bend ,ON, Canada', 'zurich ,ON, Canada']"
931,16,Wednesday,T,2017,grand%20bend&zurich,lakeshore advance,postmedia network inc.,892,ON,908,postmedia network inc.,"['grand bend ,ON, Canada', 'zurich ,ON, Canada']"
932,9396,Thursday,T,2013,belle%20river,lakeshore news,postmedia network inc.,20,ON,9416,postmedia network inc.,"['belle river ,ON, Canada']"
933,9369,Thursday,T,2014,belle%20river,lakeshore news,postmedia network inc.,22,ON,9391,postmedia network inc.,"['belle river ,ON, Canada']"
934,9367,Thursday,T,2015,belle%20river,lakeshore news,postmedia network inc.,16,ON,9383,postmedia network inc.,"['belle river ,ON, Canada']"
935,9389,Thursday,T,2016,belle%20river,lakeshore news,postmedia network inc.,13,ON,9402,postmedia network inc.,"['belle river ,ON, Canada']"
936,9399,Thursday,T,2017,belle%20river,lakeshore news,postmedia network inc.,10,ON,9409,postmedia network inc.,"['belle river ,ON, Canada']"
937,8585,Thursday,T,2018,belle%20river,lakeshore news,postmedia network inc.,9,ON,8594,postmedia network inc.,"['belle river ,ON, Canada']"
938,8585,Thursday,T,2019,belle%20river,lakeshore news,postmedia network inc.,9,ON,8594,postmedia network inc.,"['belle river ,ON, Canada']"
939,0,Thursday,T,2019,lambton-middlesex,lambtonmiddlesex standard,hayter-walden publications inc.,2458,ON,2458,hayter-walden publications inc.,"['lambton-middlesex ,ON, Canada']"
940,11219,Friday,T,2013,lasalle,lasalle post,postmedia network inc.,0,ON,11219,postmedia network inc.,"['lasalle ,ON, Canada']"
941,11219,Friday,T,2014,lasalle,lasalle post,postmedia network inc.,0,ON,11219,postmedia network inc.,"['lasalle ,ON, Canada']"
942,11219,Friday,T,2015,lasalle,lasalle post,postmedia network inc.,0,ON,11219,postmedia network inc.,"['lasalle ,ON, Canada']"
943,11219,Friday,T,2016,lasalle,lasalle post,postmedia network inc.,0,ON,11219,postmedia network inc.,"['lasalle ,ON, Canada']"
944,11219,Friday,T,2017,lasalle,lasalle post,postmedia network inc.,0,ON,11219,postmedia network inc.,"['lasalle ,ON, Canada']"
945,9804,Friday,T,2018,lasalle,lasalle post,postmedia network inc.,0,ON,9804,postmedia network inc.,"['lasalle ,ON, Canada']"
946,9804,Friday,T,2019,lasalle,lasalle post,postmedia network inc.,0,ON,9804,postmedia network inc.,"['lasalle ,ON, Canada']"
947,19500,Wednesday,T,2013,hawkesbury,le carillon,compagnie d'edition andre paquette,0,ON,19500,compagnie d'edition andre paquette,"['hawkesbury ,ON, Canada']"
948,19500,Wednesday,T,2014,hawkesbury,le carillon,compagnie d'edition andre paquette,0,ON,19500,compagnie d'edition andre paquette,"['hawkesbury ,ON, Canada']"
949,19500,Wednesday,T,2015,hawkesbury,le carillon,compagnie d'edition andre paquette,0,ON,19500,compagnie d'edition andre paquette,"['hawkesbury ,ON, Canada']"
950,19500,Wednesday,T,2016,hawkesbury,le carillon,compagnie d'edition andre paquette,0,ON,19500,compagnie d'edition andre paquette,"['hawkesbury ,ON, Canada']"
951,19500,Wednesday,T,2017,hawkesbury,le carillon,compagnie d'edition andre paquette,0,ON,19500,compagnie d'edition andre paquette,"['hawkesbury ,ON, Canada']"
952,19500,Wednesday,T,2018,hawkesbury,le carillon,compagnie d'edition andre paquette,0,ON,19500,compagnie d'edition andre paquette,"['hawkesbury ,ON, Canada']"
953,19500,Wednesday,T,2019,hawkesbury,le carillon,compagnie d'edition andre paquette,0,ON,19500,compagnie d'edition andre paquette,"['hawkesbury ,ON, Canada']"
954,65,Wednesday,T,2013,hearst,le nord,le nord inc.,1648,ON,1713,le nord inc.,"['hearst ,ON, Canada']"
955,65,Wednesday,T,2014,hearst,le nord,le nord inc.,1466,ON,1531,le nord inc.,"['hearst ,ON, Canada']"
956,75,Wednesday,T,2015,hearst,le nord,le nord inc.,1359,ON,1434,le nord inc.,"['hearst ,ON, Canada']"
957,75,Thursday,T,2016,hearst,le nord,le nord inc.,1221,ON,1296,le nord inc.,"['hearst ,ON, Canada']"
958,75,Thursday,T,2017,hearst,le nord,le nord inc.,1221,ON,1296,le nord inc.,"['hearst ,ON, Canada']"
959,75,Thursday,T,2018,hearst,le nord,le nord inc.,1221,ON,1296,le nord inc.,"['hearst ,ON, Canada']"
960,75,Thursday,T,2019,hearst,le nord,le nord inc.,1221,ON,1296,le nord inc.,"['hearst ,ON, Canada']"
961,33500,Thursday,T,2013,hawkesbury,le regional,sun media corporation,0,ON,33500,sun media corporation,"['hawkesbury ,ON, Canada']"
962,33500,Thursday,T,2014,hawkesbury,le regional,sun media corporation,0,ON,33500,sun media corporation,"['hawkesbury ,ON, Canada']"
963,20704,Thursday,T,2015,hawkesbury,le regional,sun media corporation,0,ON,20704,sun media corporation,"['hawkesbury ,ON, Canada']"
964,20704,Thursday,T,2016,hawkesbury,le regional,sun media corporation,0,ON,20704,postmedia network inc.,"['hawkesbury ,ON, Canada']"
965,20704,Thursday,T,2017,hawkesbury,le regional,postmedia network inc.,0,ON,20704,postmedia network inc.,"['hawkesbury ,ON, Canada']"
966,20704,Thursday,T,2018,hawkesbury,le regional,le regional,0,ON,20704,postmedia network inc.,"['hawkesbury ,ON, Canada']"
967,20704,Thursday,T,2019,hawkesbury,le regional,le regional,0,ON,20704,le regional,"['hawkesbury ,ON, Canada']"
968,1342,Wednesday,T,2013,sudbury,le voyageur,publications voyageur inc.,7157,ON,8499,publications voyageur inc.,"['sudbury ,ON, Canada']"
969,1342,Wednesday,T,2014,sudbury,le voyageur,publications voyageur inc.,7157,ON,8499,publications voyageur inc.,"['sudbury ,ON, Canada']"
970,1342,Wednesday,T,2015,sudbury,le voyageur,publications voyageur inc.,7157,ON,8499,publications voyageur inc.,"['sudbury ,ON, Canada']"
971,1342,Wednesday,T,2016,sudbury,le voyageur,publications voyageur inc.,7157,ON,8499,publications voyageur inc.,"['sudbury ,ON, Canada']"
972,1342,Wednesday,T,2017,sudbury,le voyageur,publications voyageur inc.,7157,ON,8499,publications voyageur inc.,"['sudbury ,ON, Canada']"
973,1342,Wednesday,T,2018,sudbury,le voyageur,publications voyageur inc.,7157,ON,8499,publications voyageur inc.,"['sudbury ,ON, Canada']"
974,1342,Wednesday,T,2019,sudbury,le voyageur,publications voyageur inc.,7157,ON,8499,publications voyageur inc.,"['sudbury ,ON, Canada']"
975,0,Wednesday,B,2014,eganville,leader,eganville leader publishing ltd.,5831,ON,5831,eganville leader publishing ltd.,"['eganville ,ON, Canada']"
976,0,Wednesday,B,2015,eganville,leader,eganville leader publishing ltd.,6018,ON,6018,eganville leader publishing ltd.,"['eganville ,ON, Canada']"
