,AdvNewspaper,AdvCirc,NatlLineRate,SpotColour,ProcessColour,Columns,Lines,MaterialCode,Year,AuditYear,AuditDiff,SplitIssue,AdvCircAllEds,NatlLineRateAllEds,SpotColourAllEds,ProcessColourAllEds,MarketAndNewspaper,_merge1,Removable,ADVCSD,ADVOwner,EDITION,FreeCirculation,Format,Market,Newspaper,Owner,PaidCirculation,Prov,TotalCirculation,Lowner,Address,GPS,StdName2,StdOwner2,double,StdMarket2,RemovableSlash,Swap2017,MarketChange1,Daily,SwapNotInclude,Swap2017Affected,CSDs,first_year,equal_to_previous,FreeCircAllEds,PaidCircAllEds,TotalCircAllEds,EDITION2,_merge2,ID,ID2,EverPaidEDITION,EverFreeEDITION,EverPaid,EverFree,OpCross2017ID,OpCross2017ID2,FreeCirc_Cross17_ID2,PaidCirc_Cross17_ID2,Rate_Cross17_ID2,TotalCirc_Cross17_ID2,OpPost2017,CDs,postmedia,metroland,MetrolandOrPostmedia,Unnamed: 0,GEO UID,Province code,Province name,CD code,CD name,CSD code,CSD name,"Population and dwelling counts / Population, 2016","Population and dwelling counts / Population percentage change, 2011 to 2016",Age & Sex / Both sexes / Average age of the pnpulation ; Both sexes,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data / Median total income in 2015 among recipients ($),"Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate, diploma or degree at bachelor level or above",NofID2,MeanMarketRate
684,creemore echo,3546.0,0.69,265.0,265.0,6.0,220.0,5.0,2013-01-01,2012.0,1.0,Friday,3546.0,0.69,265.0,265.0,creemore echo,both,,[nan],,Friday,3217.0,T,creemore,creemore echo,creemore echo communications,442.0,ON,3659.0,creemore echo communications,"['creemore ,ON, Canada']","[(44.327104, -80.1084149)]",,,,,,0.0,creemore,0.0,0.0,0,Clearview,2013.0,0.0,3217.0,442.0,3659.0,Friday,perfect_match,103,76,1,1,1,1,1,1,0,0,1,0,1,['Simcoe'],0,0,0,2384,3543005,35,ON,43,Simcoe,5,Clearview,9.557611235839621,1.3862943611198906,3.775057150354989,10.439395956669582,7.4821189235521155,2,1.425
629,cochrane times post,2007.0,0.87,128.0,386.0,9.0,160.0,3.0,2013-01-01,2012.0,1.0,Thursday,2007.0,0.87,128.0,386.0,cochrane timespost,both,,[nan],,Thursday,0.0,T,cochrane,cochrane timespost,sun media corporation,1935.0,ON,1935.0,sun media corporation,"['cochrane ,ON, Canada']","[(50.630898, -82.1914444)]",,,,,,0.0,cochrane,0.0,0.0,0,Cochrane,2013.0,0.0,0.0,1935.0,1935.0,Thursday,perfect_match,94,71,1,0,1,0,1,1,0,1,1,1,1,['Division No. 6'],1,0,1,2544,3556042,35,ON,56,Cochrane,42,Cochrane,8.579604451537634,-0.5108256237659907,3.756538102587751,10.44281316577202,5.707110264748875,1,0.87
667,cornwall express,36541.0,0.6,229.0,229.0,8.0,224.0,12.0,2013-01-01,2012.0,1.0,Thursday,36541.0,1.6,229.0,229.0,cornwall express,both,,[nan],,Thursday,36541.0,T,cornwall,express,tc.transcontinental,0.0,ON,36541.0,tc.transcontinental,"['cornwall ,ON, Canada']","[(45.0184417, -74.728703)]",express,,,,,0.0,cornwall,0.0,0.0,0,Cornwall,2013.0,0.0,36541.0,0.0,36541.0,Thursday,perfect_match,99,74,0,1,0,1,1,1,1,0,0,1,1,"['Stormont, Dundas and Glengarry']",0,0,0,2141,3501012,35,ON,1,"Stormont, Dundas and Glengarry",12,Cornwall,10.749141204810842,0.4054651081081644,3.8133070324889884,10.190356794730883,8.15507488781144,3,1.6
691,deep river north renfrew times,1963.0,0.49,310.0,310.0,9.0,196.0,3.0,2013-01-01,2012.0,1.0,Wednesday,1963.0,0.49,310.0,310.0,deep river north renfrew times,both,,[nan],,Wednesday,0.0,B,deep%20river,north renfrew times,deep river community assn. inc.,1963.0,ON,1963.0,deep river community assn. inc.,"['deep river ,ON, Canada']","[(46.101328, -77.487602)]",north renfrew times,,,,,0.0,deep river,0.0,0.0,0,Deep River,2013.0,0.0,0.0,1963.0,1963.0,Wednesday,perfect_match,104,77,1,0,1,0,1,1,0,1,1,1,1,['Renfrew'],0,0,0,2433,3547096,35,ON,47,Renfrew,96,Deep River,8.32117830749028,,3.8308129500026027,10.793803850638048,7.212294468500341,1,0.49
727,dryden observer,2885.0,0.85,126.0,315.0,6.0,301.0,2.0,2013-01-01,2012.0,1.0,Wednesday,2885.0,0.85,126.0,315.0,dryden observer,both,,[nan],,Wednesday,23.0,B,dryden,dryden observer,alex wilson coldstream ltd.,2725.0,ON,2748.0,alex wilson coldstream ltd.,"['dryden ,ON, Canada']","[(49.785698, -92.835846)]",dryden observer,,,,,0.0,dryden,0.0,0.0,0,Dryden,2013.0,0.0,23.0,2725.0,2748.0,Wednesday,perfect_match,112,82,1,1,1,1,1,1,1,1,1,1,1,['Kenora'],0,0,0,2662,3560027,35,ON,60,Kenora,27,Dryden,8.955448122347393,0.9932517730102834,3.7999735016195233,10.527097070380183,6.752270376141742,1,0.85
1112,haliburton county echo,2777.0,0.65,141.0,353.0,9.0,158.0,3.0,2013-01-01,2012.0,1.0,Tuesday,2777.0,0.65,141.0,353.0,haliburton county echo,both,,[nan],,Tuesday,0.0,T,haliburton,county echo,sun media corpnration,2520.0,ON,2520.0,sun media corporation,"['haliburton ,ON, Canada']","[(45.1525396, -78.5148132)]",county echo,,,,,0.0,haliburton,0.0,0.0,0,Dysart et al,2013.0,0.0,0.0,2520.0,2520.0,Tuesday,perfect_match,176,128,1,1,1,1,1,1,1,1,1,1,1,['Haliburton'],0,0,0,2415,3546024,35,ON,46,Haliburton,24,Dysart et al,8.74528448245438,1.840549633397487,3.9589065913269965,10.354085350751632,6.862757913051401,2,0.8
758,east gwillimbury express,,0.54,1160.0,1160.0,10.0,301.0,10.0,2015-01-01,0.0,2015.0,Thursday,,0.54,1160.0,1160.0,east gwillimbury express,both,,[nan],,Thursday,7326.0,B,east%20gwillimbury,east gwillimbury express,metroland media group ltd.,0.0,ON,7326.0,metroland media group ltd.,"['east gwillimbury ,ON, Canada']","[(44.078008, -79.4558241)]",,,,,,0.0,east gwillimbury,0.0,0.0,0,East Gwillimbury,2015.0,0.0,7326.0,0.0,7326.0,Thursday,perfect_match,116,86,0,1,0,1,1,1,1,0,1,1,1,['York'],0,1,1,2240,3519054,35,ON,19,York,54,East Gwillimbury,10.085475720428844,2.0541237336955462,3.728100167267218,10.610833452495886,8.375860015299594,1,0.54
2962,tavistock gazette,1261.0,0.66,147.0,147.0,6.0,192.0,5.0,2013-01-01,2012.0,1.0,Wednesday,1261.0,0.66,147.0,147.0,tavistock gazette,both,,[nan],,Wednesday,0.0,T,tavistock,gazette,tavistock gazette ltd.,1261.0,ON,1261.0,tavistock gazette ltd.,"['tavistock ,ON, Canada']","[(43.32104, -80.8363123)]",gazette,,,,,0.0,tavistock,0.0,0.0,0,East Zorra-Tavistock,2013.0,0.0,0.0,1261.0,1261.0,Wednesday,perfect_match,491,379,1,1,1,1,1,1,0,1,1,0,1,['Oxford'],0,0,0,2306,3532038,35,ON,32,Oxford,38,East Zorra-Tavistock,8.872066513408342,1.667706820558076,3.770459441106359,10.55268284556689,6.447305862541213,1,0.66
781,elliot lake the standard,3775.0,0.85,59.0,176.0,9.0,210.0,3.0,2013-01-01,2012.0,1.0,Wednesday,3775.0,0.85,59.0,176.0,elliot lake standard,both,,[nan],,Wednesday,0.0,T,elliot%20lake,standard,sun media corporation,3712.0,ON,3712.0,sun media corporation,"['elliot lake ,ON, Canada']","[(46.373464, -82.652893)]",standard,,,,,0.0,elliot lake,0.0,0.0,0,Elliot Lake,2013.0,0.0,0.0,3712.0,3712.0,Wednesday,perfect_match,120,89,1,0,1,0,0,1,0,1,1,1,0,['Algoma'],1,0,1,2578,3557041,35,ON,57,Algoma,41,Elliot Lake,9.281916570465405,,3.983413001514819,10.11029844922944,6.769641976852503,1,0.85
831,erin advocate,1698.0,1.84,335.0,1160.0,10.0,175.0,10.0,2013-01-01,2012.0,1.0,Wednesday,1698.0,1.84,335.0,1160.0,erin the advocate,both,,[nan],,Wednesday,0.0,T,erin,the advocate,metroland media group ltd.,1750.0,ON,1750.0,metroland media group ltd.,"['erin ,ON, Canada']","[(43.77506, -80.070076)]",the advocate,,,,,0.0,erin,0.0,0.0,0,Erin,2013.0,0.0,0.0,1750.0,1750.0,Wednesday,perfect_match,130,96,1,0,1,0,1,1,0,0,1,0,1,['Wellington'],0,1,1,2258,3523017,35,ON,23,Wellington,17,Erin,9.344871264933788,1.9740810260220096,3.763522997109702,10.626606071592057,7.57095858316901,1,1.84
840,espanola mid north monitor,1630.0,0.68,59.0,176.0,9.0,210.0,3.0,2013-01-01,2012.0,1.0,Wednesday,1630.0,0.68,59.0,176.0,espanola midnorth monitor,both,,[nan],,Wednesday,0.0,T,espanola,midnorth monitor,sun media corporation,1464.0,ON,1464.0,sun media corporation,"['espanola ,ON, Canada']","[(46.265341, -81.769867)]",midnorth monitor,,,,,0.0,espanola,0.0,0.0,0,Espanola,2013.0,0.0,0.0,1464.0,1464.0,Wednesday,perfect_match,132,97,1,0,1,0,0,1,0,0,1,0,0,['Sudbury'],1,0,1,2501,3552026,35,ON,52,Sudbury,26,Espanola,8.516593011344206,,3.822098297900159,10.494408190299962,6.186208623900494,1,0.68
847,essex free press,10483.0,0.81,235.0,235.0,6.0,220.0,5.0,2013-01-01,2012.0,1.0,Thursday,10483.0,0.81,235.0,235.0,essex free press,both,,[nan],,Thursday,10099.0,T,essex,essex free press,london publishing corporation,43.0,ON,10142.0,london publishing corporation,"['essex ,ON, Canada']","[(41.875, -82.492891325)]",,,,,,0.0,essex,0.0,0.0,0,Essex,2013.0,0.0,10099.0,43.0,10142.0,Thursday,perfect_match,133,98,1,1,1,1,1,1,1,0,1,1,1,['Essex'],0,0,0,2322,3537016,35,ON,37,Essex,16,Essex,9.924661787767535,1.6486586255873816,3.7954891891721947,10.483354046637107,7.6236419465115715,2,0.645
936,fort frances times,4455.0,1.35,135.0,382.0,6.0,301.0,1.0,2013-01-01,2012.0,1.0,Wednesday,4455.0,1.35,135.0,382.0,fort frances times,both,,[nan],,Wednesday,230.0,B,fort%20frances,fort frances times,fort frances times ltd.,4007.0,ON,4237.0,fort frances times ltd.,"['fort frances ,ON, Canada']","[(48.6114425, -93.3967615)]",,,,,,0.0,fort frances,0.0,0.0,0,Fort Frances,2013.0,0.0,230.0,4007.0,4237.0,Wednesday,perfect_match,151,110,1,1,1,1,1,1,1,1,1,1,1,['Rainy River'],0,0,0,2630,3559012,35,ON,59,Rainy River,12,Fort Frances,8.954156966583772,,3.7909846770510898,10.510641019929098,6.7464121285733745,1,1.35
948,gananoque reporter,,1.08,176.0,429.0,9.0,160.0,3.0,2013-01-01,0.0,2013.0,Thursday,,1.08,176.0,429.0,gananoque reporter,both,,[nan],,Thursday,7500.0,T,gananoque,reporter,sun media corporation,0.0,ON,7500.0,sun media corporation,"['gananoque ,ON, Canada']","[(44.3352722, -76.1646638)]",reporter,,,,,0.0,gananoque,0.0,0.0,0,Gananoque,2013.0,0.0,7500.0,0.0,7500.0,Wednesday,left_imperfect_match,153,112,1,1,1,1,1,1,0,0,1,0,1,['Leeds and Grenville'],1,0,1,2162,3507024,35,ON,7,Leeds and Grenville,24,Gananoque,8.548691858475609,-1.203972804325936,3.8753590210565547,10.36239863634992,6.311734809152915,1,1.08
1381,georgina advocate,17008.0,1.92,335.0,1160.0,10.0,175.0,10.0,2013-01-01,2012.0,1.0,Thursday,17008.0,1.92,335.0,1160.0,keswick georgina advocate,both,,[nan],,Sunday,11339.0,T,keswick,georgina advocate,metroland media group ltd.,0.0,ON,11339.0,metroland media group ltd.,"['keswick ,ON, Canada']","[(44.2396166, -79.4686558)]",,,,,,0.0,keswick,0.0,0.0,0,Georgina,2013.0,0.0,14217.0,0.0,14217.0,Sunday,right_imperfect_match,216,161,0,1,0,1,1,1,1,0,1,1,1,['York'],0,1,1,2241,3519070,35,ON,19,York,70,Georgina,10.72368579868446,1.6863989535702288,3.730501128804756,10.467123818934358,8.388450315523512,1,1.92
994,goderich signal star,4403.0,0.78,88.0,235.0,9.0,160.0,3.0,2013-01-01,2012.0,1.0,Wednesday,4403.0,0.78,88.0,235.0,goderich signalstar,both,,[nan],,Wednesday,48.0,B,goderich,signalstar,sun media corporation,4228.0,ON,4276.0,sun media corporation,"['goderich ,ON, Canada']","[(43.7430924, -81.7110949)]",signalstar,,,,,0.0,goderich,0.0,0.0,0,Goderich,2013.0,0.0,48.0,4228.0,4276.0,Wednesday,perfect_match,160,117,1,1,1,1,1,1,1,1,1,1,1,['Huron'],1,0,1,2357,3540028,35,ON,40,Huron,28,Goderich,8.93971205409023,0.8754687373538999,3.8691155044168695,10.404384045224234,6.8308742346461795,1,0.78
1001,manitoulin west recorder,1568.0,0.97,212.0,635.0,6.0,200.0,5.0,2013-01-01,2012.0,1.0,Friday,1568.0,0.97,212.0,635.0,gore bay manitoulin west recorder,both,,[nan],,Friday,73.0,T,gore%20bay,manitoulin west recorder,manitoulin publishing co. ltd.,1394.0,ON,1467.0,manitoulin publishing co. ltd.,"['gore bay ,ON, Canada']","[(45.9167876, -82.4640868)]",,,,,,0.0,gore bay,0.0,0.0,0,Gore Bay,2013.0,0.0,73.0,1394.0,1467.0,Friday,perfect_match,161,118,1,1,1,1,1,1,0,1,1,0,1,['Manitoulin'],0,0,0,2485,3551026,35,ON,51,Manitoulin,26,Gore Bay,6.7661917146603505,1.0986122886681098,3.9589065913269965,10.424214000979381,4.912654885736052,1,0.97
1020,gravenhurst banner,1546.0,1.14,335.0,1160.0,10.0,301.0,10.0,2013-01-01,2012.0,1.0,Wednesday,1546.0,1.14,335.0,1160.0,gravenhurst banner,both,,[nan],,Wednesday,99.0,B,gravenhurst,gravenhurst banner,metroland media group ltd.,1554.0,ON,1653.0,metroland media group ltd.,"['gravenhurst ,ON, Canada']","[(44.91741, -79.373131)]",,,,,,0.0,gravenhurst,0.0,0.0,0,Gravenhurst,2013.0,0.0,99.0,1554.0,1653.0,Wednesday,perfect_match,164,120,1,1,1,1,0,1,1,1,1,1,0,['Muskoka'],0,1,1,2404,3544002,35,ON,44,Muskoka,2,Gravenhurst,9.418329675518715,1.1314021114911006,3.903990833730882,10.302968122297036,7.174724309836376,1,1.14
1794,napanee beaver,15503.0,0.8,71.0,106.0,6.0,212.0,5.0,2013-01-01,2012.0,1.0,Thursday,15503.0,0.8,71.0,106.0,napanee beaver,both,,[nan],,Thursday,15531.0,B,napanee,napanee beaver,napanee beaver ltd.,0.0,ON,15531.0,napanee beaver ltd.,"['napanee ,ON, Canada']","[(44.2473883, -76.9505543)]",,,,,,0.0,napanee,0.0,0.0,0,Greater Napanee,2013.0,0.0,15531.0,0.0,15531.0,Thursday,perfect_match,290,214,0,1,0,1,1,1,1,0,1,1,1,['Lennox and Addington'],0,0,0,2183,3511015,35,ON,11,Lennox and Addington,15,Greater Napanee,9.67363403969682,1.252762968495368,3.8437441646748516,10.361798083190818,7.336936913707618,2,0.785
2802,,,,,,,,,2015-01-01,,,,,,,,snap sudbury,,,[nan],,Monthly,10000.0,T,sudbury,snap sudbury,snapd inc.,0.0,ON,10000.0,snapd inc.,"['sudbury ,ON, Canada']","[(46.49272, -80.991211)]",,,,,,0.0,sudbury,0.0,0.0,0,Greater Sudbury / Grand Sudbury,2015.0,0.0,10000.0,0.0,10000.0,Monthly,right_only,459,351,0,1,0,1,1,1,0,0,0,0,1,['Greater Sudbury / Grand Sudbury'],0,0,0,2512,3553005,35,ON,53,Greater Sudbury / Grand Sudbury,5,Greater Sudbury / Grand Sudbury,11.992458544432093,0.5877866649021191,3.765840495250065,10.542627232264719,10.031044885951003,4,2.47
970,geraldton times star,,0.72,259.0,0.0,5.0,220.0,4.0,2013-01-01,2011.0,2.0,Wednesday,,0.72,259.0,0.0,geraldton times star,both,,[nan],,Wednesday,36.0,T,geraldton,times star,times star publishing,1056.0,ON,1092.0,times star publishing,"['geraldton ,ON, Canada']","[(49.7188752, -86.9493168)]",times star,,,,,0.0,geraldton,0.0,0.0,0,Greenstone,2003.0,0.0,36.0,1056.0,1092.0,Wednesday,perfect_match,157,114,1,1,1,1,1,1,1,1,1,1,1,['Thunder Bay'],0,0,0,2619,3558075,35,ON,58,Thunder Bay,75,Greenstone,8.441822884391462,,3.7727609380946383,10.458607535181294,6.018593214496234,1,0.72
903,flesherton advance,1335.0,0.82,353.0,353.0,6.0,301.0,1.0,2013-01-01,2012.0,1.0,Wednesday,1335.0,0.82,353.0,353.0,flesherton advance,both,,[nan],,Wednesday,0.0,B,flesherton,advance,dundalk herald publishing,1268.0,ON,1268.0,dundalk herald publishing,"['flesherton ,ON, Canada']","[(44.2610602, -80.5457496)]",advance,,,,,0.0,flesherton,0.0,0.0,0,Grey Highlands,2013.0,0.0,0.0,1268.0,1268.0,Wednesday,perfect_match,143,104,1,0,1,0,1,1,0,1,1,1,1,['Grey'],0,0,0,2376,3542015,35,ON,42,Grey,15,Grey Highlands,9.190647738630446,1.3862943611198906,3.8044377947482086,10.332538970450434,7.095064377287131,1,0.82
1028,grimsby lincoln news,,,,,10.0,147.0,10,2013-01-01,2013.0,1.0,Wednesday,,,,,grimsby lincoln news,both,,[nan],,Wednesday,22590.0,T,grimsby&lincoln,grimsby lincoln news,metroland ledia group ltd.,0.0,ON,22590.0,metroland media group ltd.,"['grimsby ,ON, Canada', 'lincoln ,ON, Canada']","[(43.1931661, -79.560677), (43.17354975, -79.41600688766434)]",,,,,,0.0,grimsby lincoln,0.0,0.0,0,Grimsby,2013.0,0.0,22590.0,0.0,22590.0,Wednesday,right_only,167,121,0,1,0,1,0,1,0,0,1,0,0,"['Niagara', 'Niagara']",0,1,1,2279,3526065,35,ON,26,Niagara,65,Grimsby,10.215191280829819,2.186051276738094,3.768152635008444,10.634123177507066,8.532278828834277,2,
1076,guelph mercury tribune,39098.0,1.84,335.0,1160.0,10.0,175.0,10.0,2013-01-01,2012.0,1.0,Tuesday,39098.0,1.84,335.0,1160.0,guelph mercury tribune,both,,[nan],,Thursday,44263.0,T,guelph,guelph mercury tribune,metroland media group ltd.,0.0,ON,44263.0,metroland media group ltd.,"['guelph ,ON, Canada']","[(43.5460516, -80.2493276)]",,,,,,0.0,guelph,0.0,0.0,0,Guelph,2013.0,0.0,41869.0,0.0,41869.0,Thursday,right_imperfect_match,169,123,0,1,0,1,1,1,1,0,1,1,1,['Wellington'],0,1,1,2256,3523008,35,ON,23,Wellington,8,Guelph,11.789002964063874,2.2300144001592104,3.696351468952637,10.533188948038239,10.363472411086743,1,1.84
1090,hagersville cayuga haldimand press,3610.0,0.77,118.0,294.0,6.0,294.0,2.0,2013-01-01,2012.0,1.0,Wednesday,3610.0,0.77,118.0,294.0,hagersville cayuga haldimand press,both,,[nan],,Wednesday,0.0,B,hagersville&cayuga,haldimand press,haldimand advocate limited,3375.0,ON,3375.0,haldimand advocate limited,"['hagersville ,ON, Canada', 'cayuga ,ON, Canada']","[(42.961976, -80.0517133), (42.9497266, -79.8585358)]",,,,,,0.0,hagersville cayuga,0.0,0.0,0,Haldimand County,2013.0,0.0,0.0,3375.0,3375.0,Wednesday,perfect_match,172,124,1,0,1,0,0,0,0,0,0,0,0,['Haldimand-Norfolk'],0,0,0,2280,3528018,35,ON,28,Haldimand-Norfolk,18,Haldimand County,10.727860344448946,0.9555114450274363,3.763522997109702,10.456078725534587,8.22040309993373,3,1.2733333333333334
957,georgetown acton independent free press,,2.57,335.0,1160.0,10.0,175.0,10.0,2013-01-01,2011.0,2.0,Thursday,,2.57,335.0,1160.0,georgetown acton independent free press,both,,[nan],,Thursday,22113.0,T,georgdtown&acton,independent  free press,metroland media group ltd.,86.0,ON,22199.0,metroland media group ltd.,"['georgetown ,ON, Canada', 'acton ,ON, Canada']","[(43.6502652, -79.9036058), (43.6340679, -80.0351117)]",independent & free press,,,,,0.0,georgetown acton,0.0,0.0,0,Halton Hills,2013.0,0.0,22057.0,79.5,22136.5,Thursday,perfect_match,155,113,1,1,1,1,1,1,1,0,1,1,1,['Halton'],0,1,1,2266,3524015,35,ON,24,Halton,15,Halton Hills,11.021281360620167,1.5260563034950492,3.696351468952637,10.682101167275913,9.292012520620208,1,2.57
108,ancaster news,12817.0,1.7,335.0,1160.0,10.0,175.0,10.0,2013-01-01,2012.0,1.0,Thursday,12817.0,1.7,335.0,1160.0,ancaster news,both,,[nan],,Thursday,12823.0,T,ancaster,ancaster news,metroland media group ltd.,0.0,ON,12823.0,metroland media group ltd.,"['ancaster ,ON, Canada']","[(43.225693, -79.976692)]",,,,,,0.0,ancaster,0.0,0.0,0,Hamilton,2013.0,0.0,12823.0,0.0,12823.0,Thursday,perfect_match,15,12,0,1,0,1,1,1,1,0,1,1,1,['Hamilton'],0,1,1,2206,3514019,35,ON,14,Northumberland,19,Hamilton,9.300455261418444,1.1631508098056809,3.817712325956905,10.572982204430845,7.255591274253665,9,1.8800000000000001
1200,grey bruce this week,,1.47,59.0,59.0,9.0,160.0,3.0,2015-01-01,0.0,2015.0,Thursday,,1.47,59.0,59.0,hanover grey bruce this week,both,,[nan],,Thursday,31665.0,T,hanover,grey bruce this week,sun media corporation,0.0,ON,31665.0,sun media corporation,"['hanover ,ON, Canada']","[(44.1520712, -81.0279572)]",,,,,,0.0,hanover,0.0,0.0,0,Hanover,2015.0,0.0,31665.0,0.0,31665.0,Thursday,perfect_match,182,134,0,1,0,1,1,1,0,0,1,0,1,['Division No. 2'],1,0,1,2377,3542029,35,ON,42,Grey,29,Hanover,8.94754601503218,1.2809338454620642,3.8480176754522337,10.305847845690813,6.470799503782602,2,1.2
1217,hawkesbury le carillon,,,,,8.0,175.0,,2013-01-01,0.0,2017.0,Friday,,,,,hawkesbury le carillon,both,,[nan],,Wednesday,19500.0,T,hawkesbury,le carillon,compagnie d'edition andre paquette,0.0,ON,19500.0,compagnie d'edition andre paquette,"['hawkesbury ,ON, Canada']","[(45.610281, -74.6055611)]",,,,,,0.0,hawkesburx,0.0,0.0,0,Hawkesbury,2013.0,0.0,19500.0,0.0,19500.0,Wednesday,right_only,187,137,0,1,0,1,1,1,0,0,1,0,1,['Prescott and Russell'],0,0,0,2147,3502008,35,ON,2,Prescott and Russell,8,Hawkesbury,9.236397906295473,,3.8958936234982624,10.139270884196774,6.447305862541213,3,0.87
1240,,,,,,,,,2013-01-01,,,,,,,,hearst le nord,,,[nan],,Wednesday,65.0,T,hearst,le nord,le nord inc.,1648.0,ON,1713.0,le nord inc.,"['hearst ,ON, Canada']","[(49.690732, -83.666382)]",,,,,,0.0,hearst,0.0,0.0,0,Hearst,2013.0,0.0,65.0,1648.0,1713.0,Wednesday,right_only,191,140,1,1,1,1,0,1,0,0,0,0,0,['Cochrane'],0,0,0,2551,3556076,35,ON,56,Cochrane,76,Hearst,8.531293315795018,-0.5108256237659907,3.828641396489095,10.50594386781157,6.338594078203183,1,
187,,,,,,,,,2013-01-01,,,,,,,,bancroft wilberforce highlands courier,,,[nan],,Monthly,646.0,T,bancroft&wilberforce,highlands courier,the highlands courier,554.0,ON,1200.0,the highlands courier,"['bancroft ,ON, Canada', 'wilberforce ,ON, Canada']","[(45.0570769, -77.8537127), (45.0369198, -78.2229057)]",,,,,,0.0,bancroft wilberforce,0.0,0.0,0,Highlands East,2013.0,0.0,646.0,554.0,1200.0,Monthly,right_only,30,22,1,1,1,1,1,1,0,0,0,0,1,"['Hastings', 'Haliburton']",0,0,0,2412,3546005,35,ON,46,Haliburton,5,Highlands East,8.114922974204593,1.3609765531356006,3.9815490680767565,10.130822308468806,5.420534999272286,1,
1247,hornepayne jackfish journal,293.0,0.67,100.0,329.0,5.0,196.0,4.0,2013-01-01,2012.0,1.0,Wednesday,293.0,0.67,100.0,329.0,hornepayne jackfish journal,both,,[nan],,Wednesday,30.0,T,hornepayne,jackfish journal,lisa stewart,263.0,ON,293.0,lisa stewart,"['hornepayne ,ON, Canada']","[(49.2181387, -84.7752864)]",,,,,,0.0,hornepayne,0.0,0.0,0,Hornepayne,2013.0,0.0,30.0,263.0,293.0,Wednesday,perfect_match,192,141,1,1,1,1,0,0,0,0,0,0,0,['Algoma'],0,0,0,2594,3557096,35,ON,57,Algoma,96,Hornepayne,6.8885724595653635,,3.7256934272366524,10.818197034893952,3.713572066704308,1,0.67
1254,huntsville forester,4656.0,1.05,335.0,1160.0,10.0,301.0,10.0,2013-01-01,2012.0,1.0,Wednesday,4656.0,1.05,335.0,1160.0,huntsville forester,both,,[nan],,Wednesday,180.0,B,huntsville,huntsville forester,metroland media group ltd.,3787.0,ON,3967.0,metroland media group ltd.,"['huntsville ,ON, Canada']","[(45.3263919, -79.218434)]",,,,,,0.0,huntsville,0.0,0.0,0,Huntsville,2013.0,0.0,180.0,3787.0,3967.0,Wednesday,perfect_match,195,143,1,1,1,1,0,1,1,1,1,1,0,['Muskoka'],0,1,1,2407,3544042,35,ON,44,Muskoka,42,Huntsville,9.894295434167212,1.6094379124341003,3.824284091120139,10.37370990785957,7.941295570906532,1,1.05
265,blyth brussels citizen,1844.0,0.39,71.0,235.0,9.0,210.0,3.0,2013-01-01,2012.0,1.0,Thursday,1844.0,0.39,71.0,235.0,blyth brussels citizen,both,,[nan],,Thursday,28.0,T,blyth&brussels,citizen,north huron publishing co. inc.,1792.0,ON,1820.0,north huron publishing co. inc.,"['blyth ,ON, Canada', 'brussels ,ON, Canada']","[(43.7365991, -81.4294024), (43.7433558, -81.2506263)]",citizen,,,,,0.0,blyth brussels,0.0,0.0,0,Huron East,2013.0,0.0,28.0,1792.0,1820.0,Thursday,perfect_match,43,34,1,1,1,1,1,1,1,1,1,1,1,"['Huron', 'Huron']",0,0,0,2358,3540040,35,ON,40,Huron,40,Huron East,9.120306249272202,,3.7471483622379123,10.41989755459602,6.559615237493242,2,0.56
1605,lucknow sentinel,1304.0,0.53,59.0,176.0,9.0,160.0,3.0,2013-01-01,2012.0,1.0,Wednesday,1304.0,0.53,59.0,176.0,lucknow sentinel,both,,[nan],,Wednesday,60.0,T,lucknow,sentinel,sun media corporation,1229.0,ON,1289.0,sun media corporation,"['lucknow ,ON, Canada']","[(43.961848, -81.5172512)]",sentinel,,,,,0.0,lucknow,0.0,0.0,0,Huron-Kinloss,2013.0,0.0,60.0,1229.0,1289.0,Wednesday,perfect_match,253,189,1,1,1,1,1,1,0,0,1,0,1,['Bruce'],1,0,1,2364,3541015,35,ON,41,Bruce,15,Huron-Kinloss,8.863615758890619,1.62924053973028,3.7932394694381792,10.439922441808537,6.692083742506628,1,0.53
1262,ignace driftwood,365.0,0.38,41.0,124.0,6.0,220.0,5.0,2013-01-01,2012.0,1.0,Wednesday,365.0,0.38,41.0,124.0,ignace driftwood,both,,[nan],,Wednesday,0.0,T,ignace,driftwood,ignace driftwood,363.0,ON,363.0,ignace driftwood,"['ignace ,ON, Canada']","[(49.41276, -91.654816)]",driftwood,,,,,0.0,ignace,0.0,0.0,0,Ignace,2013.0,0.0,0.0,363.0,363.0,Wednesday,perfect_match,196,144,1,0,1,0,1,1,0,0,0,0,1,['Kenora'],0,0,0,2654,3560001,35,ON,60,Kenora,1,Ignace,7.0925737159746784,0.0,3.86702563949741,10.316953898529778,4.394449154672439,1,0.38
